MeanNull MeanCausal Power Method
0.999251661748162 18.1990699908565 0.195 LT-FH
1.00384846714367 15.3780165668266 0.159 GWAX
0.997809631731709 10.7511035061779 0.099 CaseControl
1.00266415699987 101.465336216492 0.592 TrueGeneticLiab
0.996274413358825 18.7903022427645 0.208 LT-FH
0.998394250264312 16.039451418347 0.174 GWAX
0.997905771521762 10.9619264573265 0.098 CaseControl
0.999874081259149 101.899037253803 0.597 TrueGeneticLiab
0.999046148942209 19.2267367258795 0.214 LT-FH
0.996048905669723 16.0546553096416 0.178 GWAX
1.00995918236866 11.7438210368164 0.112 CaseControl
1.00585705354634 101.455420886097 0.585 TrueGeneticLiab
0.995022644373714 18.0929277283164 0.201 LT-FH
0.996093867612675 15.2574970858789 0.16 GWAX
0.995933363435742 10.7078561684327 0.097 CaseControl
0.994488847527117 101.46733766011 0.607 TrueGeneticLiab
0.999548352850354 17.5184938127362 0.188 LT-FH
1.002020294695 15.2259385686447 0.152 GWAX
0.998082586423481 10.0616226832199 0.09 CaseControl
0.996875975091181 100.985507120228 0.576 TrueGeneticLiab
0.998425304940174 15.7366281672422 0.161 LT-FH
0.998149629105616 13.4928073377508 0.128 GWAX
0.994499470087355 9.0854939676391 0.079 CaseControl
1.0061965980684 101.721959612701 0.59 TrueGeneticLiab
1.00364253874718 15.7975780840576 0.178 LT-FH
1.00831076014009 13.4755573901877 0.142 GWAX
1.00080319286801 9.3247905931451 0.079 CaseControl
0.992797226449468 101.615078891567 0.586 TrueGeneticLiab
0.993284113076219 17.1178087161936 0.191 LT-FH
0.987254762560939 14.7299552016165 0.164 GWAX
1.00134286884987 10.1404770215174 0.095 CaseControl
0.996100784863825 100.782376708651 0.614 TrueGeneticLiab
0.999672589584792 17.5501161333633 0.186 LT-FH
0.996617311065742 15.1621108586967 0.163 GWAX
1.00151988421115 10.0457144708228 0.08 CaseControl
0.990520887210194 101.028267147666 0.595 TrueGeneticLiab
0.996682742770694 124.116200484676 0.063 LT-FH
0.998675679931073 107.319501776742 0.059 GWAX
0.994829092445887 67.171512100174 0.048 CaseControl
0.999150377268256 544.346720241514 0.088 TrueGeneticLiab
